Date,Ticker,Investment_Value_Numeric
2024-07-31,HINDUNILVR.NS,120487.0
2024-08-01,HINDUNILVR.NS,120928.0
2024-08-02,HINDUNILVR.NS,119903.0
2024-08-05,HINDUNILVR.NS,120943.0
2024-08-06,HINDUNILVR.NS,122464.0
2024-08-07,HINDUNILVR.NS,122197.0
2024-08-08,HINDUNILVR.NS,121714.0
2024-08-09,HINDUNILVR.NS,122337.0
2024-08-12,HINDUNILVR.NS,122404.0
2024-08-13,HINDUNILVR.NS,122079.0
2024-08-14,HINDUNILVR.NS,121217.0
2024-08-16,HINDUNILVR.NS,122384.0
2024-08-19,HINDUNILVR.NS,122130.0
2024-08-20,HINDUNILVR.NS,122508.0
2024-08-21,HINDUNILVR.NS,124296.0
2024-08-22,HINDUNILVR.NS,124368.0
2024-08-23,HINDUNILVR.NS,125383.0
2024-08-26,HINDUNILVR.NS,125630.0
2024-08-27,HINDUNILVR.NS,123214.0
2024-08-28,HINDUNILVR.NS,123101.0
2024-08-29,HINDUNILVR.NS,124031.0
2024-08-30,HINDUNILVR.NS,123709.0
2024-09-02,HINDUNILVR.NS,124201.0
2024-09-03,HINDUNILVR.NS,124434.0
2024-09-04,HINDUNILVR.NS,126525.0
2024-09-05,HINDUNILVR.NS,126401.0
2024-09-06,HINDUNILVR.NS,126423.0
2024-09-09,HINDUNILVR.NS,130112.0
2024-09-10,HINDUNILVR.NS,129079.0
2024-09-11,HINDUNILVR.NS,129326.0
2024-09-12,HINDUNILVR.NS,131653.0
2024-09-13,HINDUNILVR.NS,130609.0
2024-09-16,HINDUNILVR.NS,127676.0
2024-09-17,HINDUNILVR.NS,127961.0
2024-09-18,HINDUNILVR.NS,128066.0
2024-09-19,HINDUNILVR.NS,129665.0
2024-09-20,HINDUNILVR.NS,132597.0
2024-09-23,HINDUNILVR.NS,134866.0
2024-09-24,HINDUNILVR.NS,131392.0
2024-09-25,HINDUNILVR.NS,131321.0
2024-09-26,HINDUNILVR.NS,132976.0
2024-09-27,HINDUNILVR.NS,132092.0
2024-09-30,HINDUNILVR.NS,131738.0
2024-10-01,HINDUNILVR.NS,130199.0
2024-10-03,HINDUNILVR.NS,128845.0
2024-10-04,HINDUNILVR.NS,126859.0
2024-10-07,HINDUNILVR.NS,126176.0
2024-10-08,HINDUNILVR.NS,125525.0
2024-10-09,HINDUNILVR.NS,123306.0
2024-10-10,HINDUNILVR.NS,122671.0
2024-10-11,HINDUNILVR.NS,123940.0
2024-10-14,HINDUNILVR.NS,124203.0
2024-10-15,HINDUNILVR.NS,123862.0
2024-10-16,HINDUNILVR.NS,123853.0
2024-10-17,HINDUNILVR.NS,121956.0
2024-10-18,HINDUNILVR.NS,120997.0
2024-10-21,HINDUNILVR.NS,119948.0
2024-10-22,HINDUNILVR.NS,119420.0
2024-10-23,HINDUNILVR.NS,118423.0
2024-10-24,HINDUNILVR.NS,111556.0
2024-10-25,HINDUNILVR.NS,112578.0
2024-10-28,HINDUNILVR.NS,114704.0
2024-10-29,HINDUNILVR.NS,113451.0
